,cost_places,cost_shows,cost_wins,date,method,no_bets_places,no_bets_shows,no_bets_wins,profit_places,profit_shows,profit_wins,race,strategy
0,0,0,10,1999-05-15,baseline,0,0,5,0.0,0.0,0.0,PIM,baseline
1,0,0,12,2000-05-20,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
2,0,0,20,2001-05-19,baseline,0,0,10,0.0,0.0,6.6,PIM,baseline
3,0,0,22,2002-05-18,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
4,0,0,12,2003-05-17,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
5,0,0,16,2004-05-15,baseline,0,0,8,0.0,0.0,0.0,PIM,baseline
6,0,0,24,2005-05-21,baseline,0,0,12,0.0,0.0,8.6,PIM,baseline
7,0,0,16,2006-05-20,baseline,0,0,8,0.0,0.0,27.8,PIM,baseline
8,0,0,16,2007-05-19,baseline,0,0,8,0.0,0.0,8.8,PIM,baseline
9,0,0,22,2008-05-17,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
10,0,0,22,2009-05-16,baseline,0,0,11,0.0,0.0,0.0,PIM,baseline
11,0,0,20,2010-05-15,baseline,0,0,10,0.0,0.0,6.8,PIM,baseline
12,0,0,20,2011-05-21,baseline,0,0,10,0.0,0.0,0.0,PIM,baseline
13,0,0,16,2012-05-19,baseline,0,0,8,0.0,0.0,0.0,PIM,baseline
14,0,0,14,2013-05-18,baseline,0,0,7,0.0,0.0,32.8,PIM,baseline
15,0,0,14,2014-05-17,baseline,0,0,7,0.0,0.0,0.0,PIM,baseline
16,0,0,12,2015-05-16,baseline,0,0,6,0.0,0.0,0.0,PIM,baseline
17,0,0,22,1999-05-01,baseline,0,0,11,0.0,0.0,64.6,CHU,baseline
18,0,0,16,2000-05-06,baseline,0,0,8,0.0,0.0,6.6,CHU,baseline
19,0,0,32,2001-05-05,baseline,0,0,16,0.0,0.0,23.0,CHU,baseline
20,0,0,28,2002-05-04,baseline,0,0,14,0.0,0.0,43.0,CHU,baseline
21,0,0,26,2003-05-03,baseline,0,0,13,0.0,0.0,27.6,CHU,baseline
22,0,0,32,2004-05-01,baseline,0,0,16,0.0,0.0,10.2,CHU,baseline
23,0,0,34,2005-05-07,baseline,0,0,17,0.0,0.0,102.6,CHU,baseline
24,0,0,36,2006-05-06,baseline,0,0,18,0.0,0.0,14.2,CHU,baseline
25,0,0,36,2007-05-05,baseline,0,0,18,0.0,0.0,0.0,CHU,baseline
26,0,0,36,2008-05-03,baseline,0,0,18,0.0,0.0,0.0,CHU,baseline
27,0,0,8,2009-05-02,baseline,0,0,4,0.0,0.0,0.0,CHU,baseline
28,0,0,38,2010-05-01,baseline,0,0,19,0.0,0.0,18.0,CHU,baseline
29,0,0,30,2011-05-07,baseline,0,0,15,0.0,0.0,43.8,CHU,baseline
30,0,0,34,2012-05-05,baseline,0,0,17,0.0,0.0,0.0,CHU,baseline
31,0,0,36,2013-05-04,baseline,0,0,18,0.0,0.0,0.0,CHU,baseline
32,0,0,32,2014-05-03,baseline,0,0,16,0.0,0.0,0.0,CHU,baseline
33,0,0,32,2015-05-02,baseline,0,0,16,0.0,0.0,7.8,CHU,baseline
34,0,0,10,2007-06-09,baseline,0,0,5,0.0,0.0,10.6,BEL,baseline
35,0,0,10,2008-06-07,baseline,0,0,5,0.0,0.0,0.0,BEL,baseline
36,0,0,8,2009-06-06,baseline,0,0,4,0.0,0.0,25.4,BEL,baseline
37,0,0,16,2010-06-05,baseline,0,0,8,0.0,0.0,28.0,BEL,baseline
38,0,0,16,2011-06-01,baseline,0,0,8,0.0,0.0,51.5,BEL,baseline
39,0,0,18,2012-06-09,baseline,0,0,9,0.0,0.0,7.5,BEL,baseline
40,0,0,22,2013-06-08,baseline,0,0,11,0.0,0.0,29.6,BEL,baseline
41,0,0,18,2014-06-07,baseline,0,0,9,0.0,0.0,20.4,BEL,baseline
42,0,0,12,2015-06-06,baseline,0,0,6,0.0,0.0,0.0,BEL,baseline
43,0,0,20,2006-06-10,baseline,0,0,10,0.0,0.0,0.0,BEL,baseline
0,2,2,2,1999-05-15,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
1,2,2,2,2000-05-20,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
2,2,2,2,2001-05-19,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
3,2,2,2,2002-05-18,baseline,1,1,1,33.0,0.0,0.0,PIM,sorted
4,2,2,2,2003-05-17,baseline,1,1,1,15.4,0.0,0.0,PIM,sorted
5,2,2,2,2004-05-15,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
6,2,2,2,2005-05-21,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
7,2,2,2,2006-05-20,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
8,2,2,2,2007-05-19,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
9,2,2,2,2008-05-17,baseline,1,1,1,17.2,0.0,0.0,PIM,sorted
10,2,2,2,2009-05-16,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
11,2,2,2,2010-05-15,baseline,1,1,1,0.0,9.2,0.0,PIM,sorted
12,2,2,2,2011-05-21,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
13,2,2,2,2012-05-19,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
14,2,2,2,2013-05-18,baseline,1,1,1,12.0,5.0,0.0,PIM,sorted
15,2,2,2,2014-05-17,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
16,2,2,2,2015-05-16,baseline,1,1,1,0.0,0.0,0.0,PIM,sorted
17,2,2,2,1999-05-01,baseline,1,1,1,27.8,0.0,0.0,CHU,sorted
18,2,2,2,2000-05-06,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
19,2,2,2,2001-05-05,baseline,1,1,1,0.0,21.2,0.0,CHU,sorted
20,2,2,2,2002-05-04,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
21,2,2,2,2003-05-03,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
22,2,2,2,2004-05-01,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
23,2,2,2,2005-05-07,baseline,1,1,1,70.0,0.0,0.0,CHU,sorted
24,2,2,2,2006-05-06,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
25,2,2,2,2007-05-05,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
26,2,2,2,2008-05-03,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
27,2,2,2,2009-05-02,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
28,2,2,2,2010-05-01,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
29,2,2,2,2011-05-07,baseline,1,1,1,0.0,13.0,0.0,CHU,sorted
30,2,2,2,2012-05-05,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
31,2,2,2,2013-05-04,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
32,2,2,2,2014-05-03,baseline,1,1,1,31.8,0.0,0.0,CHU,sorted
33,2,2,2,2015-05-02,baseline,1,1,1,0.0,0.0,0.0,CHU,sorted
34,2,2,2,2007-06-09,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
35,2,2,2,2008-06-07,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
36,2,2,2,2009-06-06,baseline,1,1,1,0.0,4.7,0.0,BEL,sorted
37,2,2,2,2010-06-05,baseline,1,1,1,11.6,0.0,0.0,BEL,sorted
38,2,2,2,2011-06-01,baseline,1,1,1,0.0,10.8,0.0,BEL,sorted
39,2,2,2,2012-06-09,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
40,2,2,2,2013-06-08,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
41,2,2,2,2014-06-07,baseline,1,1,1,0.0,13.2,0.0,BEL,sorted
42,2,2,2,2015-06-06,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
43,2,2,2,2006-06-10,baseline,1,1,1,0.0,0.0,0.0,BEL,sorted
0,4,6,2,1999-05-15,baseline,2,3,1,0.0,18.8,0.0,PIM,hedging
1,4,6,2,2000-05-20,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
2,4,6,2,2001-05-19,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
3,4,6,2,2002-05-18,baseline,2,3,1,33.0,14.0,0.0,PIM,hedging
4,4,6,2,2003-05-17,baseline,2,3,1,15.4,9.0,0.0,PIM,hedging
5,4,6,2,2004-05-15,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
6,4,6,2,2005-05-21,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
7,4,6,2,2006-05-20,baseline,2,3,1,0.0,8.0,0.0,PIM,hedging
8,4,6,2,2007-05-19,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
9,4,6,2,2008-05-17,baseline,2,3,1,17.2,10.4,0.0,PIM,hedging
10,4,6,2,2009-05-16,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
11,4,6,2,2010-05-15,baseline,2,3,1,0.0,9.2,0.0,PIM,hedging
12,4,6,2,2011-05-21,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
13,4,6,2,2012-05-19,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
14,4,6,2,2013-05-18,baseline,2,3,1,12.0,11.8,0.0,PIM,hedging
15,4,6,2,2014-05-17,baseline,2,3,1,0.0,0.0,0.0,PIM,hedging
16,4,6,2,2015-05-16,baseline,2,3,1,19.0,8.8,0.0,PIM,hedging
17,4,6,2,1999-05-01,baseline,2,3,1,27.8,14.4,0.0,CHU,hedging
18,4,6,2,2000-05-06,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
19,4,6,2,2001-05-05,baseline,2,3,1,0.0,21.2,0.0,CHU,hedging
20,4,6,2,2002-05-04,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
21,4,6,2,2003-05-03,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
22,4,6,2,2004-05-01,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
23,4,6,2,2005-05-07,baseline,2,3,1,70.0,24.8,0.0,CHU,hedging
24,4,6,2,2006-05-06,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
25,4,6,2,2007-05-05,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
26,4,6,2,2008-05-03,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
27,4,6,2,2009-05-02,baseline,2,3,1,0.0,12.0,0.0,CHU,hedging
28,4,6,2,2010-05-01,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
29,4,6,2,2011-05-07,baseline,2,3,1,0.0,13.0,0.0,CHU,hedging
30,4,6,2,2012-05-05,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
31,4,6,2,2013-05-04,baseline,2,3,1,38.6,19.6,0.0,CHU,hedging
32,4,6,2,2014-05-03,baseline,2,3,1,31.8,15.4,0.0,CHU,hedging
33,4,6,2,2015-05-02,baseline,2,3,1,0.0,0.0,0.0,CHU,hedging
34,4,6,2,2007-06-09,baseline,2,3,1,0.0,0.0,0.0,BEL,hedging
35,4,6,2,2008-06-07,baseline,2,3,1,0.0,0.0,0.0,BEL,hedging
36,4,6,2,2009-06-06,baseline,2,3,1,0.0,4.7,0.0,BEL,hedging
37,4,6,2,2010-06-05,baseline,2,3,1,11.6,7.7,0.0,BEL,hedging
38,4,6,2,2011-06-01,baseline,2,3,1,0.0,10.8,0.0,BEL,hedging
39,4,6,2,2012-06-09,baseline,2,3,1,0.0,0.0,0.0,BEL,hedging
40,4,6,2,2013-06-08,baseline,2,3,1,0.0,0.0,0.0,BEL,hedging
41,4,6,2,2014-06-07,baseline,2,3,1,0.0,13.2,0.0,BEL,hedging
42,4,6,2,2015-06-06,baseline,2,3,1,0.0,4.6,0.0,BEL,hedging
43,4,6,2,2006-06-10,baseline,2,3,1,0.0,0.0,0.0,BEL,hedging
0,0,0,20,1999-05-15,lm,0,0,10,0.0,0.0,0.0,PIM,baseline
1,0,0,14,2000-05-20,lm,0,0,7,0.0,0.0,14.4,PIM,baseline
2,0,0,16,2001-05-19,lm,0,0,8,0.0,0.0,6.6,PIM,baseline
3,0,0,20,2002-05-18,lm,0,0,10,0.0,0.0,0.0,PIM,baseline
4,0,0,8,2003-05-17,lm,0,0,4,0.0,0.0,5.8,PIM,baseline
5,0,0,18,2004-05-15,lm,0,0,9,0.0,0.0,0.0,PIM,baseline
6,0,0,14,2005-05-21,lm,0,0,7,0.0,0.0,8.6,PIM,baseline
7,0,0,14,2006-05-20,lm,0,0,7,0.0,0.0,27.8,PIM,baseline
8,0,0,12,2007-05-19,lm,0,0,6,0.0,0.0,8.8,PIM,baseline
9,0,0,20,2008-05-17,lm,0,0,10,0.0,0.0,0.0,PIM,baseline
10,0,0,12,2009-05-16,lm,0,0,6,0.0,0.0,0.0,PIM,baseline
11,0,0,16,2010-05-15,lm,0,0,8,0.0,0.0,6.8,PIM,baseline
12,0,0,20,2011-05-21,lm,0,0,10,0.0,0.0,27.2,PIM,baseline
13,0,0,6,2012-05-19,lm,0,0,3,0.0,0.0,0.0,PIM,baseline
14,0,0,14,2013-05-18,lm,0,0,7,0.0,0.0,32.8,PIM,baseline
15,0,0,16,2014-05-17,lm,0,0,8,0.0,0.0,3.0,PIM,baseline
16,0,0,12,2015-05-16,lm,0,0,6,0.0,0.0,0.0,PIM,baseline
17,0,0,30,1999-05-01,lm,0,0,15,0.0,0.0,64.6,CHU,baseline
18,0,0,34,2000-05-06,lm,0,0,17,0.0,0.0,6.6,CHU,baseline
19,0,0,26,2001-05-05,lm,0,0,13,0.0,0.0,23.0,CHU,baseline
20,0,0,30,2002-05-04,lm,0,0,15,0.0,0.0,43.0,CHU,baseline
21,0,0,18,2003-05-03,lm,0,0,9,0.0,0.0,27.6,CHU,baseline
22,0,0,28,2004-05-01,lm,0,0,14,0.0,0.0,0.0,CHU,baseline
23,0,0,26,2005-05-07,lm,0,0,13,0.0,0.0,102.6,CHU,baseline
24,0,0,22,2006-05-06,lm,0,0,11,0.0,0.0,0.0,CHU,baseline
25,0,0,32,2007-05-05,lm,0,0,16,0.0,0.0,11.8,CHU,baseline
26,0,0,22,2008-05-03,lm,0,0,11,0.0,0.0,6.8,CHU,baseline
27,0,0,6,2009-05-02,lm,0,0,3,0.0,0.0,103.2,CHU,baseline
28,0,0,26,2010-05-01,lm,0,0,13,0.0,0.0,0.0,CHU,baseline
29,0,0,24,2011-05-07,lm,0,0,12,0.0,0.0,43.8,CHU,baseline
30,0,0,28,2012-05-05,lm,0,0,14,0.0,0.0,32.6,CHU,baseline
31,0,0,34,2013-05-04,lm,0,0,17,0.0,0.0,12.8,CHU,baseline
32,0,0,22,2014-05-03,lm,0,0,11,0.0,0.0,7.0,CHU,baseline
33,0,0,28,2015-05-02,lm,0,0,14,0.0,0.0,7.8,CHU,baseline
34,0,0,10,2007-06-09,lm,0,0,5,0.0,0.0,10.6,BEL,baseline
35,0,0,14,2008-06-07,lm,0,0,7,0.0,0.0,79.0,BEL,baseline
36,0,0,8,2009-06-06,lm,0,0,4,0.0,0.0,25.4,BEL,baseline
37,0,0,18,2010-06-05,lm,0,0,9,0.0,0.0,28.0,BEL,baseline
38,0,0,12,2011-06-01,lm,0,0,6,0.0,0.0,51.5,BEL,baseline
39,0,0,16,2012-06-09,lm,0,0,8,0.0,0.0,0.0,BEL,baseline
40,0,0,18,2013-06-08,lm,0,0,9,0.0,0.0,29.6,BEL,baseline
41,0,0,14,2014-06-07,lm,0,0,7,0.0,0.0,0.0,BEL,baseline
42,0,0,14,2015-06-06,lm,0,0,7,0.0,0.0,3.5,BEL,baseline
43,0,0,12,2006-06-10,lm,0,0,6,0.0,0.0,0.0,BEL,baseline
0,2,2,2,1999-05-15,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
1,2,2,2,2000-05-20,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
2,2,2,2,2001-05-19,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
3,2,2,2,2002-05-18,lm,1,1,1,0.0,14.0,0.0,PIM,sorted
4,2,2,2,2003-05-17,lm,1,1,1,0.0,0.0,5.8,PIM,sorted
5,2,2,2,2004-05-15,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
6,2,2,2,2005-05-21,lm,1,1,1,0.0,3.2,0.0,PIM,sorted
7,2,2,2,2006-05-20,lm,1,1,1,7.8,0.0,0.0,PIM,sorted
8,2,2,2,2007-05-19,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
9,2,2,2,2008-05-17,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
10,2,2,2,2009-05-16,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
11,2,2,2,2010-05-15,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
12,2,2,2,2011-05-21,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
13,2,2,2,2012-05-19,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
14,2,2,2,2013-05-18,lm,1,1,1,7.8,0.0,0.0,PIM,sorted
15,2,2,2,2014-05-17,lm,1,1,1,0.0,0.0,0.0,PIM,sorted
16,2,2,2,2015-05-16,lm,1,1,1,0.0,8.8,0.0,PIM,sorted
17,2,2,2,1999-05-01,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
18,2,2,2,2000-05-06,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
19,2,2,2,2001-05-05,lm,1,1,1,11.8,21.2,0.0,CHU,sorted
20,2,2,2,2002-05-04,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
21,2,2,2,2003-05-03,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
22,2,2,2,2004-05-01,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
23,2,2,2,2005-05-07,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
24,2,2,2,2006-05-06,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
25,2,2,2,2007-05-05,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
26,2,2,2,2008-05-03,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
27,2,2,2,2009-05-02,lm,1,1,1,54.0,0.0,0.0,CHU,sorted
28,2,2,2,2010-05-01,lm,1,1,1,0.0,7.4,0.0,CHU,sorted
29,2,2,2,2011-05-07,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
30,2,2,2,2012-05-05,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
31,2,2,2,2013-05-04,lm,1,1,1,0.0,0.0,12.8,CHU,sorted
32,2,2,2,2014-05-03,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
33,2,2,2,2015-05-02,lm,1,1,1,0.0,0.0,0.0,CHU,sorted
34,2,2,2,2007-06-09,lm,1,1,1,0.0,0.0,0.0,BEL,sorted
35,2,2,2,2008-06-07,lm,1,1,1,5.4,0.0,0.0,BEL,sorted
36,2,2,2,2009-06-06,lm,1,1,1,9.3,3.6,0.0,BEL,sorted
37,2,2,2,2010-06-05,lm,1,1,1,11.6,0.0,0.0,BEL,sorted
38,2,2,2,2011-06-01,lm,1,1,1,0.0,0.0,0.0,BEL,sorted
39,2,2,2,2012-06-09,lm,1,1,1,0.0,0.0,0.0,BEL,sorted
40,2,2,2,2013-06-08,lm,1,1,1,0.0,6.1,0.0,BEL,sorted
41,2,2,2,2014-06-07,lm,1,1,1,0.0,0.0,0.0,BEL,sorted
42,2,2,2,2015-06-06,lm,1,1,1,0.0,2.5,0.0,BEL,sorted
43,2,2,2,2006-06-10,lm,1,1,1,0.0,0.0,0.0,BEL,sorted
0,4,6,2,1999-05-15,lm,2,3,1,0.0,18.8,0.0,PIM,hedging
1,4,6,2,2000-05-20,lm,2,3,1,2.6,2.2,0.0,PIM,hedging
2,4,6,2,2001-05-19,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
3,4,6,2,2002-05-18,lm,2,3,1,0.0,14.0,0.0,PIM,hedging
4,4,6,2,2003-05-17,lm,2,3,1,4.6,3.4,5.8,PIM,hedging
5,4,6,2,2004-05-15,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
6,4,6,2,2005-05-21,lm,2,3,1,0.0,8.0,0.0,PIM,hedging
7,4,6,2,2006-05-20,lm,2,3,1,7.8,5.0,0.0,PIM,hedging
8,4,6,2,2007-05-19,lm,2,3,1,3.0,5.4,0.0,PIM,hedging
9,4,6,2,2008-05-17,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
10,4,6,2,2009-05-16,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
11,4,6,2,2010-05-15,lm,2,3,1,0.0,6.6,0.0,PIM,hedging
12,4,6,2,2011-05-21,lm,2,3,1,0.0,8.0,0.0,PIM,hedging
13,4,6,2,2012-05-19,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
14,4,6,2,2013-05-18,lm,2,3,1,7.8,5.0,0.0,PIM,hedging
15,4,6,2,2014-05-17,lm,2,3,1,0.0,0.0,0.0,PIM,hedging
16,4,6,2,2015-05-16,lm,2,3,1,0.0,8.8,0.0,PIM,hedging
17,4,6,2,1999-05-01,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
18,4,6,2,2000-05-06,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
19,4,6,2,2001-05-05,lm,2,3,1,11.8,30.0,0.0,CHU,hedging
20,4,6,2,2002-05-04,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
21,4,6,2,2003-05-03,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
22,4,6,2,2004-05-01,lm,2,3,1,0.0,6.2,0.0,CHU,hedging
23,4,6,2,2005-05-07,lm,2,3,1,0.0,4.6,0.0,CHU,hedging
24,4,6,2,2006-05-06,lm,2,3,1,0.0,7.8,0.0,CHU,hedging
25,4,6,2,2007-05-05,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
26,4,6,2,2008-05-03,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
27,4,6,2,2009-05-02,lm,2,3,1,54.0,25.8,0.0,CHU,hedging
28,4,6,2,2010-05-01,lm,2,3,1,0.0,7.4,0.0,CHU,hedging
29,4,6,2,2011-05-07,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
30,4,6,2,2012-05-05,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
31,4,6,2,2013-05-04,lm,2,3,1,7.4,5.4,12.8,CHU,hedging
32,4,6,2,2014-05-03,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
33,4,6,2,2015-05-02,lm,2,3,1,0.0,0.0,0.0,CHU,hedging
34,4,6,2,2007-06-09,lm,2,3,1,0.0,3.7,0.0,BEL,hedging
35,4,6,2,2008-06-07,lm,2,3,1,5.4,4.1,0.0,BEL,hedging
36,4,6,2,2009-06-06,lm,2,3,1,9.3,10.9,0.0,BEL,hedging
37,4,6,2,2010-06-05,lm,2,3,1,11.6,12.6,0.0,BEL,hedging
38,4,6,2,2011-06-01,lm,2,3,1,0.0,0.0,0.0,BEL,hedging
39,4,6,2,2012-06-09,lm,2,3,1,0.0,0.0,0.0,BEL,hedging
40,4,6,2,2013-06-08,lm,2,3,1,0.0,10.0,0.0,BEL,hedging
41,4,6,2,2014-06-07,lm,2,3,1,0.0,0.0,0.0,BEL,hedging
42,4,6,2,2015-06-06,lm,2,3,1,0.0,2.5,0.0,BEL,hedging
43,4,6,2,2006-06-10,lm,2,3,1,0.0,0.0,0.0,BEL,hedging
